bookID,Book-Title,authors,isbn,isbn13,language_code,publisher,
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,1596670231,9.7816E+12,eng,Routledge,
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,1581807740,9.78158E+12,en-US,North Light Books,
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,800793617,9.7808E+12,eng,Chosen Books,
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,871202867,9.78087E+12,en-US,Association for Supervision & Curriculum Development,
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,753454947,9.78075E+12,eng,Kingfisher,
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,871209993,9.78087E+12,eng,ASCD,
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,1852402873,9.78185E+12,eng,Sovereign World,
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,761129588,9.78076E+12,eng,Workman Publishing Company,
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,972016414,9.78097E+12,eng,One Hour Entertainment,
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,1581805632,9.78158E+12,en-US,North Light Books,
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,441294677,9.78044E+12,eng,Ace Books,
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,441102670,9.78044E+12,eng,Ace Books,
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,441172695,9.78044E+12,eng,Ace Books,
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,765306476,9.78077E+12,en-US,Tor Books,
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,399128980,9.7804E+12,eng,Putnam,
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,765353709,9.78077E+12,eng,Tor Science Fiction,
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,441328008,9.78044E+12,eng,Ace Books,
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,618212906,9.78062E+12,eng,Houghton Mifflin Harcourt,
122,The Power of One (The Power of One  #1),Bryce Courtenay,034541005X,9.78035E+12,eng,Ballantine Books,
123,The Power of One (The Power of One  #1),Bryce Courtenay,385732546,9.78039E+12,eng,Delacorte Books for Young Readers,
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,785260056,9.78079E+12,en-US,Thomas Nelson,
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,471780936,9.78047E+12,eng,Wiley,
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,325001537,9.78033E+12,eng,Heinemann Drama,
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,006076287X,9.78006E+12,eng,William Morrow Paperbacks,
133,eBay for Dummies,Marsha Collier,470045299,9.78047E+12,eng,Wiley,
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,72262788,9.78007E+12,eng,McGraw-Hill,
137,Starting an eBay Business for Dummies,Marsha Collier,764569244,9.78076E+12,eng,Wiley,
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,471933821,9.78047E+12,eng,Wiley,
139,ebay Timesaving Techniques for Dummies,Marsha Collier,764559915,9.78076E+12,en-US,Wiley,
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,764584383,9.78076E+12,en-US,Wiley,
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,596523696,9.7806E+12,eng,O'Reilly Media,
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,806523492,9.78081E+12,eng,Citadel,
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,806525363,9.78081E+12,eng,Citadel,
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,596527314,9.7806E+12,eng,O'Reilly Media,
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,143035002,9.78014E+12,eng,Penguin Classics,
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,451528611,9.78045E+12,eng,Signet,
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,140449175,9.78014E+12,eng,Penguin Books,
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,822001837,9.78082E+12,eng,Cliffs Notes,
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,1593080271,9.78159E+12,eng,Barnes & Noble Classics,
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,486437965,9.78049E+12,eng,Dover Publications,
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,1593081774,9.78159E+12,eng,Barnes & Noble,
159,Dinner with Anna Karenina,Gloria Goldreich,778322270,9.78078E+12,eng,Mira Books,
160,Tolstoy: Anna Karenina,Anthony Thorlby,521313252,9.78052E+12,eng,Cambridge University Press,
162,Untouchable,Mulk Raj Anand/E.M. Forster,140183957,9.78014E+12,eng,Penguin Books,
163,The Untouchable,John Banville,679767479,9.78068E+12,eng,Vintage,
164,The Untouchables,Eliot Ness/Oscar Fraley,1568491980,9.78157E+12,eng,Buccaneer Books,
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,743270797,9.78074E+12,en-US,Scribner,
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,932863051,9.78093E+12,eng,Clarity Press,
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,742508803,9.78074E+12,eng,Rowman & Littlefield Publishers,
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,205358624,9.78021E+12,eng,Pearson,
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,1557344035,9.78156E+12,eng,Teacher Created Resources,
180,Wrinkles in Time,George Smoot/Keay Davidson,380720442,9.78038E+12,eng,Harper Perennial,
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,821925326,9.78082E+12,eng,EMC/Paradigm Publishing,
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,043927169X,9.78044E+12,eng,Teaching Resources,
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,606105263,9.78061E+12,spa,Turtleback Books,
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,751506435,9.78075E+12,eng,Little  Brown Book Group,
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,006078671X,9.78006E+12,eng,William Morrow,
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,743499344,9.78074E+12,en-US,Atria Books,
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,765313405,9.78077E+12,eng,Tor Books,
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,1400032490,9.7814E+12,eng,Vintage Crime/Black Lizard,
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,1400032482,9.7814E+12,eng,Vintage Crime/Black Lizard,
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,1400032466,9.7814E+12,eng,Vintage Crime/Black Lizard,
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,679732527,9.78068E+12,eng,Vintage,
231,I am Charlotte Simmons,Tom Wolfe,312424442,9.78031E+12,eng,Picador USA,
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,806930772,9.78081E+12,eng,Sterling,
244,The Puffin Book of Nonsense Verse,Quentin Blake,140366601,9.78014E+12,eng,Puffin,
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,811201120,9.78081E+12,eng,New Directions Publishing,
247,Quiet Days in Clichy,Henry Miller,080213016X,9.7808E+12,eng,Grove Press,
249,Tropic of Cancer,Henry Miller/Jiří Níl,802131786,9.7808E+12,eng,Grove Press,
250,Tropic of Capricorn,Henry Miller,802151825,9.7808E+12,eng,Grove Press,
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,802151787,9.7808E+12,eng,Grove Press,
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,802151809,9.7808E+12,eng,Grove Press,
253,The Air-Conditioned Nightmare,Henry Miller,811201066,9.78081E+12,eng,New Directions,
264,The Portrait of a Lady,Henry James/Patricia Crick,141439637,9.78014E+12,eng,Penguin Classics,
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,1593080964,9.78159E+12,eng,Barnes  Noble Classics,
277,Writing,Marguerite Duras,1571290532,9.78157E+12,eng,Brookline Books,
278,The War,Marguerite Duras/Barbara Bray,1565842219,9.78157E+12,eng,The New Press,
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,394743040,9.78039E+12,en-US,Pantheon,
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,1851681825,9.78185E+12,eng,One World (UK),
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,156656249X,9.78157E+12,eng,Interlink Publishing Group,
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,014019553X,9.78014E+12,eng,Penguin Books,
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,394431243,9.78039E+12,eng,Knopf,
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,806501901,9.78081E+12,eng,Citadel,
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,067943920X,9.78068E+12,eng,Knopf,
295,Treasure Island,Robert Louis Stevenson,753453800,9.78075E+12,eng,Kingfisher,
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,1402714572,9.7814E+12,en-US,Sterling Children's Books,
297,Treasure Island,Robert Louis Stevenson,1416500294,9.78142E+12,eng,Simon & Schuster,
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,689854684,9.78069E+12,eng,Atheneum Books for Young Readers,
299,Treasure Island,Robert Louis Stevenson/Milo Winter,517221144,9.78052E+12,en-US,Gramercy Books,
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,1577658051,9.78158E+12,eng,Abdo Publishing Company,
313,100 Years of Lynchings,Ralph Ginzburg,933121180,9.78093E+12,eng,Black Classic Press,
324,Cien años de soledad,Gabriel García Márquez,785950109,9.78079E+12,spa,French & European,
330,On Beyond Zebra!,Dr. Seuss,394800842,9.78039E+12,eng,Random House Books for Young Readers,
332,The Wedding Clause,Debbie Raleigh,821778250,9.78082E+12,eng,Zebra,
333,The Zebra Wall,Kevin Henkes,60733039,9.78006E+12,eng,Greenwillow Books,
337,El perfume: Historia de un asesino,Patrick Süskind,8432216062,9.78843E+12,spa,Booket,
348,The Door Into Summer,Robert A. Heinlein,345413997,9.78035E+12,eng,Del Rey,
350,Stranger in a Strange Land,Robert A. Heinlein,441788386,9.78044E+12,eng,Ace,
354,To Sail Beyond the Sunset,Robert A. Heinlein,441748600,9.78044E+12,en-US,Ace Books,
355,Job: A Comedy of Justice,Robert A. Heinlein,345316509,9.78035E+12,en-US,Del Rey,
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,765314932,9.78077E+12,eng,Tor Books,
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,671742515,9.78067E+12,en-US,Pocket Books,
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,345455290,9.78035E+12,eng,Del Rey,
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,345476514,9.78035E+12,eng,Del Rey,
367,Douglas Adams's Starship Titanic,Terry Jones,345368436,9.78035E+12,eng,Ballantine Books,
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,1417622857,9.78142E+12,eng,Turtleback Books,
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,573650969,9.78057E+12,eng,Samuel French  Inc.,
385,On Bullshit,Harry G. Frankfurt,691122946,9.78069E+12,eng,Princeton University Press,
386,Another Bullshit Night in Suck City,Nick Flynn,393329402,9.78039E+12,eng,W. W. Norton & Company,
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,671867423,9.78067E+12,en-US,Simon & Schuster,
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,395883970,9.7804E+12,eng,HMH Books for Young Readers,
399,Underworld,Don DeLillo,684848155,9.78068E+12,eng,Scribner,
400,Libra,Don DeLillo,140156046,9.78014E+12,eng,Penguin,
403,Americana,Don DeLillo,140119485,9.78014E+12,eng,Penguin Books,
404,Running Dog,Don DeLillo,679722947,9.78068E+12,eng,Vintage Contemporaries,
406,Cosmopolis,Don DeLillo,743244257,9.78074E+12,eng,Scribner,
407,Great Jones Street,Don DeLillo,140179178,9.78014E+12,eng,Penguin Books,
408,The Names,Don DeLillo,679722955,9.78068E+12,eng,Vintage,
409,Against the Day,Thomas Pynchon,159420120X,9.78159E+12,eng,Penguin Press,
410,V.,Thomas Pynchon,60930217,9.78006E+12,eng,Harper Perennial Modern Classics,
411,The Crying of Lot 49,Thomas Pynchon,60931671,9.78006E+12,eng,Harper Perennial,
412,Gravity's Rainbow,Thomas Pynchon,140283382,9.78014E+12,eng,Penguin Books,
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,312423209,9.78031E+12,eng,Picador USA,
414,Vineland,Thomas Pynchon,141180633,9.78014E+12,en-US,Penguin Classics,
415,Gravity's Rainbow,Thomas Pynchon,143039946,9.78014E+12,eng,Penguin Books,
416,Slow Learner: Early Stories,Thomas Pynchon,316724432,9.78032E+12,eng,Back Bay Books,
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,140189300,9.78014E+12,eng,Penguin Classics,
420,The Year of Magical Thinking,Joan Didion,140004314X,9.7814E+12,en-US,Knopf Publishing Group,
421,The White Album,Joan Didion,374522219,9.78037E+12,eng,Farrar Straus Giroux,
422,A Book of Common Prayer,Joan Didion,679754865,9.78068E+12,eng,Vintage International,
423,Where I Was From,Joan Didion,679752862,9.78068E+12,eng,Vintage,
424,Slouching Towards Bethlehem,Joan Didion,374521727,9.78037E+12,eng,Farrar Straus Giroux,
425,Democracy,Joan Didion,679754857,9.78068E+12,en-US,Vintage International,
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,307264874,9.78031E+12,eng,Everyman's Library,
428,Play It As It Lays,Joan Didion/David Thomson,374529949,9.78037E+12,eng,Farrar  Straus and Giroux,
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,143039830,9.78014E+12,eng,Penguin Classics,
432,City of Glass (The New York Trilogy  #1),Paul Auster,140097317,9.78014E+12,eng,Penguin Books,
434,Ghosts (The New York Trilogy  #2),Paul Auster,014009735X,9.78014E+12,eng,Penguin Books,
435,The Locked Room (The New York Trilogy  #3),Paul Auster,940650762,9.78094E+12,eng,Sun and Moon Press,
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,963188925,9.78096E+12,eng,Sky Books (NY),
446,The Brooklyn Follies,Paul Auster,312426232,9.78031E+12,eng,Picador,
447,Moon Palace,Paul Auster,140115854,9.78014E+12,eng,Penguin Books,
453,The Music of Chance,Paul Auster,140154078,9.78014E+12,en-US,Penguin Books,
454,Travels in the Scriptorium,Paul Auster,805081453,9.78081E+12,eng,Henry Holt & Company,
456,Leviathan,Paul Auster,140178139,9.78014E+12,eng,Penguin Books,
463,The Red Notebook: True Stories,Paul Auster,811214982,9.78081E+12,eng,New Directions,
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,2742741461,9.78274E+12,fre,Actes Sud,
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,143036556,9.78014E+12,eng,Penguin Books Ltd. (London),
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,446579785,9.78045E+12,en-US,Business Plus,
477,Collapse of Complex Societies,Joseph A. Tainter,052138673X,9.78052E+12,eng,Cambridge University Press,
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,743203046,9.78074E+12,eng,Simon  Schuster,
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,034543871X,9.78035E+12,eng,Ballantine Books,
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,393318281,9.78039E+12,eng,W. W. Norton  Company,
493,My Inventions,Nikola Tesla,1599869942,9.7816E+12,eng,Filiquarian Publishing  LLC.,
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,806519606,9.78081E+12,eng,Citadel,
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,822549204,9.78082E+12,eng,Lerner Publications,
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,932813860,9.78093E+12,eng,Adventures Unlimited Press,
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,373792689,9.78037E+12,eng,Harlequin Blaze,
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,974514055,9.78097E+12,en-US,Pragmatic Bookshelf,
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,764585975,9.78076E+12,eng,Cliffs Notes,
524,Lord of the Flies,William Golding,307281701,9.78031E+12,eng,Listening Library (Audio),
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,812969707,9.78081E+12,eng,Random House,
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,60255080,9.78006E+12,eng,HarperCollins Publishers,
537,The Lovely Bones,Alice Sebold,330485385,9.78033E+12,en-GB,Picador,
538,The Lovely Bones,Alice Sebold,159413023X,9.78159E+12,en-US,Large Print Press,
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,345360354,9.78035E+12,eng,Ballantine Books,
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,321303474,7.85342E+11,en-US,Peachpit Press,
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,321430840,9.78032E+12,en-US,Peachpit Press,
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3822840858,9.78382E+12,mul,Taschen,
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,743264460,9.78074E+12,eng,Scribner,
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,743236017,9.78074E+12,eng,Scribner,
619,Vice (V  #8),Jane Feather,553572490,9.78055E+12,eng,Bantam,
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus  #1),Robert M. Pirsig,60589469,9.78006E+12,eng,HarperTorch,
639,Once Upon a Cool Motorcycle Dude,Kevin O'Malley/Carol Heyer/Scott Goto,802789471,9.7808E+12,eng,Walker & Company,
642,Guidebook to Zen and the Art of Motorcycle Maintenance,Ronald L. DiSanto/Thomas J. Steele,688060692,9.78069E+12,en-GB,William Morrow Paperbacks,
643,Motorcycle Basics Techbook,John Harold Haynes,185960515X,9.78186E+12,eng,Haynes Manuals N. America  Inc.,
650,LOGO Lounge: 2 000 International Identities by Leading Designers,Catharine M. Fishel/Bill Gardner,1592530877,9.78159E+12,eng,Rockport Publishers,
655,The Death of Ivan Ilych And Other Stories,Leo Tolstoy/Hugh McLean,451528808,9.78045E+12,eng,Signet Classics,
656,War and Peace,Leo Tolstoy/Henry Gifford/Aylmer Maude/Louise Maude,192833987,9.78019E+12,eng,Oxford University Press,
658,The Kingdom of God Is Within You,Leo Tolstoy/Constance Garnett,486451380,9.78049E+12,eng,Dover Publications,
662,Atlas Shrugged,Ayn Rand/Leonard Peikoff,452011876,9.78045E+12,eng,Plume,
663,For the New Intellectual: The Philosophy of Ayn Rand,Ayn Rand,451163087,9.78045E+12,eng,Signet Book,
664,The Fountainhead,Ayn Rand,452286751,9.78045E+12,en-US,Dutton,
665,The Virtue of Selfishness: A New Concept of Egoism,Ayn Rand/Nathaniel Branden,451163931,9.78045E+12,eng,Signet,
667,Anthem,Ayn Rand,452281253,9.78045E+12,eng,NAL,
